ano;numero_termo;numero_sei;orgao_acordo;parceiro_acordo;objeto;inicio_vigencia;fim_vigencia;situacao;link_documento
"2026";"1";"1400.01.0004709/2019-17";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE CONTAGEM";"Objeto o estabelecimento de diretrizes para regulação das ações e da coordenação dos atendimentos a ocorrências de urgências e emergências pré-hospitalares na Microrregião III, composto pelos Municípios de Contagem, Sarzedo, Ibirité e nos Municípios pactuados.";"2029-05-30";"2019-05-30";"ENCERRADO";"https://drive.google.com/file/d/1pb4pJ1px0t7A8Xz-wcUmLfUxS0A1cVU9/view?usp=sharing"
"2026";"1";"1400.01.0022537/2022-63, 1400.01.0068477/2019-31";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE RIO POMBA";"O estabelecimento de condições de cooperação mútua entre os convenentes, visando à execução pelo CBMMG, dos serviços de prevenção e de combate a incêndio, busca e salvamento, resgate e defesa civil no município e região.";"2023-05-01";"2023-12-31";"VIGENTE";"https://drive.google.com/file/d/1JTVabC78NDbqlz-WerduwV_Ar7CrL7sf/view?usp=sharing"
"2026";"3";"1400.01.0035145/2021-23";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE LAGOA SANTA";"O estabelecimento de condições de cooperação mútua entre os convenentes, visando à execução pelo CBMMG, dos serviços de prevenção e de combate a incêndio, busca e salvamento, resgate e defesa civil no Município e região, bem como o desenvolvimento das ações por parte do Município de Lagoa Santa para a instalação da futura sede da Fração do Corpo de Bombeiros Militar no município.";"2021-07-08";"2022-07-07";"ENCERRADO";"https://drive.google.com/file/d/1D5rfOTSylZlUNCzFlp1z9LVEwNZbcA-C/view?usp=sharing"
"2025";"1.01.2.0.1";"1400.01.0037599/2025-04";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE ITABIRITO";"Estabelecimento de condições de cooperação mútua entre os partícipes, visando a criação, manutenção e o credenciamento da Brigada Municipal de Itabirito/MG, para execução dos serviços de prevenção e combate a incêndio e atendimento a emergências, conforme prescreve o §2º do artigo 3º da Lei Federal nº 13.425/2017 c/c o caput do artigo 8º da Portaria do CBMMG nº 49 de 02 de julho de 2020.";"2026-04-08";"2036-04-08";"VIGENTE";"https://drive.google.com/file/d/1mUNzJOwTfyXKYjZ17jAv3c0Dvb605qzT/view?usp=sharing"
"2025";"1.03.2.1.2/25";"1400.01.0057452/2025-92";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE LAGOA SANTA";"estabelecer condições de cooperação mútua entre os convenentes, visando à execução, pelo CBMMG, dos Serviços de Prevenção e de Combate a Incêndios, Buscas e Salvamentos, Resgates e Execução de Atividades de Proteção e Defesa Civil no município de Lagoa Santa MG, para a efetiva manutenção da ordem e da defesa social.";"2025-12-18";"2028-12-17";"VIGENTE";"https://drive.google.com/file/d/1TVMWjlg38pckxoJA5rzh1VxVQRFnx3RX/view?usp=sharing"
"2025";"3.04.1.7.3";"1400.01.0054939/2025-43";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE LEOPODINA";"o estabelecimento de condições de cooperação mútua entre os convenentes, visando à execução pelo CBMMG, dos serviços de combate a incêndio, prevenção contra incêndio e pânico, busca e salvamento, atendimento pré-hospitalar (Resgate) e Defesa Civil no Município de Leopoldina e região, bem como o desenvolvimento das ações por parte da Prefeitura Municipal de Leopoldina para apoio à manutenção ininterrupta dos serviços do CBMMG.";"2026-02-10";"2031-02-09";"VIGENTE";"https://drive.google.com/file/d/151OryfslCAFHuc_sbwP-r1T-45xEP4se/view?usp=sharing"
"2024";"1.01.0.2.0.2";"1400.01.0000483/2024-32";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE MARIANA";"Estabelecimento de condições de cooperação mútua entre os convenentes, visando à execução pelo CBMMG, dos serviços de prevenção e de combate a incêndio, busca e salvamento, resgate e defesa civil no município e região.";"2025-08-03";"2029-08-02";"VIGENTE";"https://drive.google.com/file/d/1AqK3ogFZuJLFihI8AUnn0eOUPyZEtRLy/view?usp=sharing"
"2024";"1";"1400.01.0019790/2022-27";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE CONTAGEM";"O presente Termo de Parceria tem por objeto o estabelecimento de condições de cooperação mútua entre os parceiros, visando o apoio no desenvolvimento e modernização do Corpo de Bombeiros Militar de Minas Gerais (CBMMG), para a melhoria da execução das atividades Bombeiro Militar, especialmente, em relação à execução dos projetos desenvolvidos pelo Segundo Batalhão de Bombeiros Militar (2º BBM) e Academia de Bombeiros Militar (ABM), no Município de CONTAGEM/MG, sendo elas: utilização de estrutura física para treinamento e capacitação; Projeto ""Bombeiro nas Escolas""; apoio na formação de brigadas e na realização de palestras, em escolas e órgãos públicos; capacitação e treinamento; contemplando a aquisição de bens (equipamentos/materiais), conforme descrito no Plano de Trabalho apresentado pela OSCIP";"2024-06-28";"2025-06-28";"ENCERRADO";"https://drive.google.com/file/d/1YkhrQmh1K_M_v8thxRKoPjYb_REx7hDV/view?usp=sharing"
"2024";"2";"1400.01.0043876/2021-93";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE GUIDOVAL E RODEIRO";"Estabelecimento de condições de cooperação mútua entre os convenentes, visando à criação, manutenção e o credenciamento da Brigada Municipal de Rodeiro, para execução dos serviços de prevenção e combate a incêndio e atendimento a emergências.";"2024-04-16";"2026-04-15";"VIGENTE";"https://drive.google.com/file/d/1-lp8O50d7mJUsjG2S-LKsTyiQzRHyLtB/view?usp=drive_link"
"2024";"1910003165";"1400.01.0006835/2024-24, 1400.01.0000433/2022-30, 1400.01.0038861/2021-86";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"SECRETARIA ESTADUAL DE FAZENDA";"Constitui objeto deste Convênio a cooperação técnica, por meio da cessão, pela SEF/MG ao CBMMG, com ônus para o órgão de origem, do servidor Geraldo Francisco Marcelino, Oficial de Serviços Operacionais – OSO, MASP 906.407-2, para execução dos trabalhos condizentes com o item II, 1.1, do Anexo II da Lei Estadual nº 15.470/2005, proporcionando condições para que o Corpo de Bombeiros Militar de Minas Gerais desenvolva suas atividades institucionais.";"2024-06-28";"2029-06-28";"VIGENTE";"https://drive.google.com/file/d/1L88-0A2e4zvVwos38vs23RurmqpvhC67/view?usp=sharing"
"2024";"1.03.0.0.1";"1400.01.0026835/2024-23";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE CAETE";"Estabelecer as intenções do CBMMG e do município de Caeté/MG, de firmarem instrumento público específico com vista à execução dos serviços de prevenção e de combate a incêndio, busca e salvamento, resgate e defesa civil no referido, realizando-se, dessa forma, condições imprescindíveis para que o CBMMG preste serviços de qualidade na região, inclusive com a construção da sede da Fração BM a cargo da Prefeitura Municipal";"2025-07-17";"2027-07-17";"VIGENTE";"https://drive.google.com/file/d/1iD8HPrAolhmW6cgeACNNm4oL6ozKJTRe/view?usp=sharing"
"2024";"3.04.2.2.1";"1400.01.0023928/2024-39";"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE SAO FRANCISCO DO GLORIA";"Estabelecimento de condições de cooperação mútua entre os convenentes, visando à execução pelo CBMMG, dos serviços de prevenção e de combate a incêndio, busca e salvamento, resgate e defesa civil no município e região.";"2024-06-22";"2028-12-31";"VIGENTE";"https://drive.google.com/file/d/1hkKjaRuXHc_P0yle__Ws6QqUXuzjfmNS/view?usp=sharing"
