ano;numero_termo;numero_sei;orgao_acordo;parceiro_acordo;objeto;inicio_vigencia;fim_vigencia;situacao;link_documento
"2026";"1";"";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE RIO POMBA";"O estabelecimento de condições de cooperação mútua entre os convenentes, visando à execução pelo CBMMG, dos serviços de prevenção e de combate a incêndio, busca e salvamento, resgate e defesa civil no município e região.";"2023-05-01";"2023-12-31";"ENCERRADO";"https://drive.google.com/file/d/1JTVabC78NDbqlz-WerduwV_Ar7CrL7sf/view?usp=sharing"
"2026";"S/N";"";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE DIAMANTINA";"Estabelecimento de condições de cooperação mútua entre os convenentes, visando a execução pelo CBMMG nos serviços de prevenção e de combate a incêndios, busca e salvamento, atendimento pré-hospitalar (resgate) e defesa civil no Município de Diamantina e região.";"2026-02-28";"2027-02-27";"VIGENTE";"https://drive.google.com/file/d/1MtsOstxkBdjeRubX2M72ZpxfP9qlJxt_/view?usp=sharing"
"2026";"3";"";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE LAGOA SANTA";"O estabelecimento de condições de cooperação mútua entre os convenentes, visando à execução pelo CBMMG, dos serviços de prevenção e de combate a incêndio, busca e salvamento, resgate e defesa civil no Município e região, bem como o desenvolvimento das ações por parte do Município de Lagoa Santa para a instalação da futura sede da Fração do Corpo de Bombeiros Militar no município.";"2021-07-08";"2022-07-07";"ENCERRADO";"https://drive.google.com/file/d/1D5rfOTSylZlUNCzFlp1z9LVEwNZbcA-C/view?usp=sharing"
"2025";"506221";"";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE ALMENARA";"O estabelecimento de condições de cooperação mútua entre os convenentes, visando à execução pelo CBMMG, dos Serviços de Prevenção e de Combate a Incêndio, Busca e Salvamento, Resgate e Defesa Civil no Município de Almenara/MG e região.";"2025-10-17";"2030-10-16";"VIGENTE";"https://drive.google.com/file/d/1Bqnde6OBrXgEc_LeVnuXbXB6CStJjpc_/view?usp=sharing"
"2025";"2.08.2.0.3";"";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE ARAXA";"O objeto do instrumento consiste no estabelecimento de cooperação entre o Município de Araxá / MG e o CBMMG, visando a instalação e funcionamento da Base Descentralizada do Serviço de Atendimento Móvel de Urgência (SAMU), integrada à sede da 2ª Companhia de Bombeiros Militar de Araxá, em cumprimento à integração do Consórcio Intermunicipal de Saúde da Rede de Urgência e Emergência da Macrorregião do Triângulo Sul - CISTRISUL.";"2025-05-17";"2028-12-31";"VIGENTE";"https://drive.google.com/file/d/1vqg8_laGF61cFHhQLEXnJvP3sCwU3Km6/view?usp=sharing"
"2025";"2.08.1.8.5/25";"";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE CARNEIRINHO";"Estabelecimento de condições de cooperação mútua 
entre os convenentes, visando à execução pelo CBMMG, dos serviços de prevenção e de combate a 
incêndio, busca e salvamento, resgate e defesa civil no município e região.";"2026-01-01";"2028-12-31";"VIGENTE";"https://drive.google.com/file/d/1xoYti3c9wo0RDhVUSFsXH64o3q9_w13B/view?usp=sharing"
"2025";"5.06.0.0.1";"";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE CONSELHEIRO PENA";"Estabelecimento de condições de cooperação mútua entre os convenentes, visando a criação, manutenção e o credenciamento da Brigada Municipal de Conselheiro Pena/MG, para execução dos serviços de prevenção e combate a incêndio e atendimento a emergências, conforme prescreve o §2ºdo artigo 3º da Lei Federal nº 13.425/2017 c/c o caput do artigo 8º da Portaria do CBMMG nº 49 de 02 de julho de 2020.";"2025-11-20";"2035-11-19";"VIGENTE";"https://drive.google.com/file/d/1FHKH_HbkaBMPHby94SzqHQz4hxcagOqV/view?usp=sharing"
"2025";"619131";"";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE EXTREMA";"Estabelecimento de condições de cooperação mútua entre os convenentes, com o fito de proporcionar a execução pelo CBMMG, dos Serviços de Prevenção e de Combate a Incêndio, Busca e Salvamento e Defesa Civil no Município de Extrema e região, bem como o atendimento Pré-Hospitalar (Resgate) em co-gestão pelas instituições envolvidas.";"2025-08-08";"2029-08-07";"VIGENTE";"https://drive.google.com/file/d/1wqXiaAgNOthHbawvqTU-w3xnl5ReSmYQ/view?usp=sharing"
"2025";"29";"";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE FRUTAL";"Termo de Fomento com município de Frutal - custeio e manutenção da Fração do Corpo de Bombeiros Militar de Minas Gerais – CBMMG na cidade de Frutal/MG, visando ao fortalecimento da capacidade operacional para a execução dos serviços de prevenção e combate a incêndios, busca, salvamento e resgate, assegurando a continuidade e a eficiência das ações de segurança pública em beneficio da coletividade";"2025-12-04";"2026-12-03";"VIGENTE";"https://drive.google.com/file/d/1vtNfl-I6k2cg0WV66w8aPy-EB7Bn0MAb/view?usp=sharing"
"2025";"506171";"";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE GUANHAES";"Estabelecimento de condições de cooperação mútua entre os convenentes, visando à execução pelo CBMMG, dos serviços de prevenção e de combate a incêndios, buscas e salvamentos, resgates e atividades de defesa civil no município de Guanhães e região, objetivando a efetiva manutenção da ordem e da defesa social.";"2025-10-21";"2027-10-20";"VIGENTE";"https://drive.google.com/file/d/1OxcZxwP2IR2NcY2cjfmyUZELh-hNMr_0/view?usp=sharing"
