ano;numero_termo;numero_sei;orgao_acordo;parceiro_acordo;objeto;inicio_vigencia;fim_vigencia;situacao;link_documento
"2024";"S/N";"2250.01.0001359/2024-16";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"ADVOCACIA GERAL DO ESTADO";"O presente Acordo de Cooperação Técnica tem por objeto a cooperação mútua, entre os partícipes, de forma a possibilitar à AGE-MG acessar os dados constantes da Base de Dados do Cadastro Estadual de Empresas Mercantis, organizado, mantido e atualizado pela JUCEMG.";"2024-10-06";"2029-10-05";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/9PPXfHjxFS7mXyM"
"2015";"S/N";"2250.01.0003481/2019-64";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"CONTROLADORIA GERAL DO ESTADO DE MINAS GERAIS";"Acesso a Base de Dados do Cadastro Estadual de Empresas Mercantis, organizado, mantido e atualizado pela JUCEMG.";"2015-03-09";"INDETERMINADO";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/ozAaLQsPZYT5ZmK"
"2021";"S/N";"2250.01.0001259/2022-06";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"Acesso a Base de Dados do Cadastro Estadual de Empresas Mercantis, organizado, mantido e atualizado pela JUCEMG.";"2022-09-09";"2026-11-09";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/d2bsRg6K8Y2z27t"
"2014";"85";"2250.01.0003577/2019-91";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS - PROCURADORIA GERAL DE JUSTICA";"Acesso a Base de Dados do Cadastro Estadual de Empresas Mercantis, organizado, mantido e atualizado pela JUCEMG.";"2014-08-14";"INDETERMINADO";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/mabt69sz95x4pps"
"2022";"S/N";"2250.01.0001569/2022-75";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"MINISTERIO PUBLICO DO TRABALHO - PROCURADORIA REGIONAL DO TRABALHO DA 3ª REGIAO";"Acesso a Base de Dados do Cadastro Estadual de Empresas Mercantis, organizado, mantido e atualizado pela JUCEMG";"2022-12-14";"2027-12-13";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/D4FcKFbK5Ft6NTd"
"2022";"S/N";"2250.01.0000324/2022-31";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"MINISTERIO PUBLICO DA UNIAO - PROCURADORIA DA REPUBLICA EM MINAS GERAIS";"Acesso a Base de Dados do Cadastro Estadual de Empresas Mercantis, organizado, mantido e atualizado pela JUCEMG.";"2022-07-12";"2027-07-11";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/X8kyxa3zezfs8XP"
"2015";"S/N";"2250.01.0003578/2019-64";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"PREFEITURA MUNICIPAL DE BELO HORIZONTE";"Cooperação entre os partícipes, visando a simplificação e integração do processo de registro e legalização de empresas no âmbito do Estado de Minas Gerais e do Município de Belo Horizonte, por meio do Sistema Minas Fácil, nos fins a que se propõe a Lei Federal nº 11.598, de 3 de dezembro de 2007";"2015-12-10";"INDETERMINADO";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/pJ5FE2r8aZPzqMG"
"2025";"S/N";"1510.01.0000560/2018-05";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"Acesso a Base de Dados do Cadastro Estadual de Empresas Mercantis, organizado, mantido e atualizado pela JUCEMG.";"2025-03-26";"2030-03-26";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/zH65mN8rsHymW7K"
"2021";"S/N";"2250.01.0001029/2021-11";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"PROCURADORIA FEDERAL EM MINAS GERAIS - ADVOCACIA GERAL DA UNIAO";"Acesso a Base de Dados do Cadastro Estadual de Empresas Mercantis, organizado, mantido e atualizado pela JUCEMG.";"2021-07-19";"2026-07-18";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/epmmHbgSFTJ4B2K"
"2023";"S/N";"2250.01.0000062/2023-21";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"PROCURADORIA REGIONAL DO BANCO CENTRAL EM MINAS GERAIS";"Acesso a Base de Dados do Cadastro Estadual de Empresas Mercantis, organizado, mantido e atualizado pela JUCEMG";"2023-02-19";"2028-02-18";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/aL3oj5K8LztLgHt"
"2025";"S/N";"2250.01.0000525/2024-30";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"RECEITA FEDERAL DO BRASIL";"Intercâmbio de informações, no âmbito da Rede Nacional para a Simplificação do Registro e da Legalização de Empresas e Negócios Redesim, entre o Sistema Integrador Nacional da Secretaria Especial da Receita Federal do Brasil e o sistema aplicativo de integração estadual.";"2025-11-06";"INDETERMINADO";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/DQCJb82YdrCgfFt"
"2023";"S/N";"1220.01.0002004/2023-48";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO DE MINAS GERAIS";"Acesso a Base de Dados do Cadastro Estadual de Empresas Mercantis, organizado, mantido e atualizado pela JUCEMG.";"2023-10-05";"2028-10-04";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/H8DqwNwkNTgroZt"
"2024";"S/N";"1190.01.0006456/2024-16";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"SECRETARIA DE ESTADO DE FAZENDA  DE MINAS GERAIS";"Acesso a Base de Dados do Cadastro Estadual de Empresas Mercantis, organizado, mantido e atualizado pela JUCEMG.";"2024-08-28";"2029-08-27";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/P64HzCY4997xdfq"
"2026";"S/N";"1370.01.0050595/2022-59";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"SECRETARIA DE ESTADO DO MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL  DE MINAS GERAIS";"Acesso a Base de Dados do Cadastro Estadual de Empresas Mercantis, organizado, mantido e atualizado pela JUCEMG.";"2026-05-05";"2031-05-04";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/XD8HoCKkiCRTjDZ"
"2025";"S/N";"1320.01.0139317/2024-90";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"SECRETARIA DE ESTADO DE SAUDE  DE MINAS GERAIS";"Constitui objeto do presente ACORDO entre os partícipes: a continuidade do processo de simplificação e informatização do licenciamento sanitário.";"2025-01-28";"2030-01-27";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/xCLAjpDiGQcXJxD"
"2026";"S/N";"2250.01.0000705/2026-14";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"SERVICO DE APOIO AS MICRO E PEQUENAS EMPRESAS DE MINAS GERAIS - SEBRAE";"Constitui objeto do presente ACORDO entre os partícipes e futuros aderentes, nos campos de suas atribuições e respectivas competências, a implantação, a promoção e coordenação de ações para prestação de serviços, informações e capacitações a empreendedores, empresários, usuários da Sala Mineira do Empreendedor em Minas Gerais.";"2026-06-08";"2031-06-07";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/7WFc8tTDGPyb7Ed"
"2015";"S/N";"2250.01.0003567/2019-70";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"Acesso a Base de Dados do Cadastro Estadual de Empresas Mercantis, organizado, mantido e atualizado pela JUCEMG.";"2016-07-27";"INDETERMINADO";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/DmZnfNNcF7R8Z6M"
"2024";"S/N";"2250.01.0000118/2024-58";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS";"Acesso a Base de Dados do Cadastro Estadual de Empresas Mercantis, organizado, mantido e atualizado pela JUCEMG.";"2024-01-23";"2029-01-22";"VIGENTE";"https://nuvem.cge.mg.gov.br/index.php/s/qNwMMQ5sj3gLFcR"
