ano;numero_termo;numero_sei;orgao_acordo;parceiro_acordo;objeto;inicio_vigencia;fim_vigencia;situacao;link_documento;numero_documento
2025;1;2180.01.0000039/2025-03;FUNDACAO CLOVIS SALGADO;ANDRE MELO MIMIZA;"Finalidade de interesse público e recíproco de seleção de projetos aprovados em leis de incentivo à cultura que venham a ser parceiros de modo a executar ações no âmbito da programação e produção artística da Fundação Clóvis Salgado, e ainda garantir a sustentabilidade financeira e de execução das ações finalísticas Fundação Clóvis Salgado, Palácio da Liberdade e Circuito Liberdade. O Festival desvio consiste em um projeto que visa formar e conscientizar profissionais da cultura para o universo das pessoas com deficiência, a fim de que  tais profissionais possam produzir eventos com maior sensibilidade à temática e melhores ferramentas de inclusão da cultura defi. O projeto consiste em três etapas, sendo a primeira a realização de um curso/workshop para o público, abordando temas da cultura defi, capacitismo, acessibilidade e inclusão, etc; a segunda, a realização de uma pequena mostra de cinema com filmes relacionados à temática e a terceira fase um evento celebrando a arte produzida por pessoas defi ou não, em linguagens artísticas diversas (performance, teatro, artes visuais, música).Datas: 22, 23 e 24 de abril de 2025. Local: Cine Humberto Mauro - FCS";2025-04-03 00:00:00;2025-05-24 00:00:00;Encerrado;https://fcs.mg.gov.br/wp-content/uploads/2025/07/EDITAL-03_2025-ACT-01-Andre-Melo-Mimiza_.pdf;
2025;1;1450.01.0247072/2024-93;SECRETARIA DE ESTADO DE JUSTICA E SEGURANÇA PUBLICA;ASSOCIACAO PELA SOLIDARIEDADE AO RECUPERANDO;Constitui objeto do presente ACORDO DE COOPERAÇÃO a mútua cooperação para o gerenciamento e comercialização do trabalho autônomo de artesanato no Presídio de Alfenas como fomento de atividades laborais dos indivíduos privados de liberdade, conforme preconizado pelo artigo. 14 da Resolução 127, de 23/10/2018, conforme Plano de Trabalho.;2025-03-27 00:00:00;2026-03-26 00:00:00;Vigente;https://nuvem.cge.mg.gov.br/index.php/apps/files/files/31925?dir=/FTP_DTA/Acordos%20de%20Coopera%C3%A7%C3%A3o%20T%C3%A9cnica/SEJUSP;
2025;1;2180.01.0002623/2024-78;FUNDACAO CLOVIS SALGADO;CASULO CULTURA LTDA;Cooperação para a realização do a seleção de projetos aprovados e respectivamente publicados no diário oficial nas Leis de Incentivo à Cultura (Federal, Estadual e Municipal) a serem executados no conjunto da programação artística da Fundação Clóvis Salgado. O projeto prevê a realização da 7ª edição do Mistura Minas no presente ano de 2025, incluindo 4 encontros inéditos com shows musicais no período entre 20 e 23 de fevereiro nos jardins do Palácio das Artes. Na ocasião para desenvolvimento da programação noturna (18h-23h), haverá uma barraca de customização de adereços, pulseiras e acessórios para carnaval, além de um lounge de ambientação. O evento contará ainda com bailes de marchinha, rodas de samba, blocos de carnaval e apresentações de artistas variados da cidade de Belo Horizonte/MG. O projeto Mistura Minas, em sua 7ª edição em 2025, ocorrerá nos jardins do Palácio das Artes, Belo Horizonte, de 20 a 23 de fevereiro. Contará com shows musicais, bailes de marchinha, rodas de samba e blocos de carnaval. Haverá barraca de customização de adereços e um lounge de ambientação. O Mistura Minas promove a economia criativa, intercâmbio cultural e inclusão. Desde 2013, já atraiu cerca de 80 mil pessoas, valorizando a cultura local e gerando renda para a cidade.;2025-02-20 00:00:00;2025-02-28 00:00:00;Encerrado;https://fcs.mg.gov.br/wp-content/uploads/2025/07/EDITAL-01_2025-ACT-01-Casulo-Cultural-LtdiME.pdf;
2025;1;1529.01.0000045/2024-39;CONTROLADORIA GERAL DO ESTADO;CONSELHO DE ETICA PUBLICA DO ESTADO DE MINAS GERAIS;O objeto do presente instrumento tem por finalidade estabelecer acordo entre a CGE e o Conset, no intuito de que ambos promovam a colaboração na apuração das consultas, denúncias e demais procedimentos a cargo dos dois órgãos, que integram o sistema de controle interno do Poder Executivo Estadual. ;2025-01-08 00:00:00;2030-01-07 00:00:00;Vigente;https://cge.mg.gov.br/divulgacao-obrigatoria/acordos-e-cooperacoes-tecnicas/category/118-2025?download=1140:termo-de-cooperacao-tecnici01-2025-cge-mg-conset;
2025;1;0007.000729/2025-82;CONTROLADORIA GERAL DO ESTADO;CONTROLADORIA GERAL DO ESTADO DE RONDONIA;Compartilhamento técnicos para aprimorar o código-fonte do UAI Risk e sistemas derivados, oferecer melhores soluções para a implementação de políticas de gestão de riscos, estimular o desenvolvimento de softwares livres por órgãos públicos como forma de modernizar a administração pública e fortalecer os processos de governança de tecnologi da informação e comunicação, promovendo a colaboração e atroca de experiências entre diferentes organizçãoes governamentais. ;2025-07-21 00:00:00;2030-07-21 00:00:00;Vigente;https://cge.mg.gov.br/divulgacao-obrigatoria/acordos-e-cooperacoes-tecnicas/category/118-2025?download=1442:termo-de-cooperacao-tecnici02-2025-cge-mg-cge-dtga;
2025;1;1520.01.0006132/2025-22;CONTROLADORIA GERAL DO ESTADO;CONTROLADORIA GERAL DO MUNICIPIO DE PIRACEMA;Estabelecimento de mecanismos de cooperação entre a CGM e a CGE, visando ao desenvolvimento de projetos e ações que possam contribuir para a prevenção e o combate à corrupção, para o aperfeiçoamento da auditoria interna governamental, para promoção da transparência e da ética pública, para o fomento do controle social e para o fortalecimento da gestão pública.;2025-07-25 00:00:00;2030-07-29 00:00:00;Vigente;https://cge.mg.gov.br/divulgacao-obrigatoria/acordos-e-cooperacoes-tecnicas/category/118-2025?download=1441:termo-de-cooperacao-tecnici06-2025-cge-mg-cgm;
2025;1;1520.01.0007959/2025-66;CONTROLADORIA GERAL DO ESTADO;CONTROLADORIA GERAL DO MUNICIPIO DE PORTO VELHO;Este acordo tem por objeto o compartilhamento de conhecimento técnico para aprimoramento do código-fonte do Sistema de Gestão Integrada de Riscos – UAI Risk, software governamental desenvolvido pela CGE-MG.;2025-09-03 00:00:00;2030-09-03 00:00:00;Vigente;https://cge.mg.gov.br/divulgacao-obrigatoria/acordos-e-cooperacoes-tecnicas/category/118-2025?download=1459:termo-de-cooperacao-tecnici08-2025-cgemg-cgm;
2025;1;2180.01.0002659/2024-76;FUNDACAO CLOVIS SALGADO;INSTITUTO CULTURAL AURUM;"Cooperação para a realização de projetos aprovados e respectivamente publicados no diário oficial nas Leis de Incentivo à Cultura (Federal, Estadual e Municipal) a serem executados no conjunto da programação artística da Fundação Clóvis Salgado e Palácio da Liberdade. O projeto ""Arte nas Águas de Minas"" busca, além das ações de pintura artística em cidades do interior de Minas Gerais, realizar uma Exposição Coletiva com o tema ""Água"". Sob a curadoria de Flaviana Lasan e Marcel Diogo, a exposição pretende fomentar um diálogo profundo entre as obras e seus criadores, oferecendo ao público uma experiência enriquecedora e imersiva, com a água como tema central. Cronograma: Abertura 4 de outubro I  Encerramento 30 de novembro I Desmontagem  1 a 5 dezembro de 2025.";2025-02-11 00:00:00;2025-03-31 00:00:00;Encerrado;https://fcs.mg.gov.br/wp-content/uploads/2025/07/EDITAL-02_2025-ACT-01-Instituto-Cultural-Aurium.pdf;
2025;1;1520.01.0010619/2025-26;CONTROLADORIA GERAL DO ESTADO;INSTITUTO FEDERAL DE EDCACAO, CIENCIA E TECNOLOGIA DE RONDONIA;Este acordo tem por objeto o compartilhamento de conhecimento técnico para aprimoramento do código-fonte do Sistema de Gestão Integrada de Riscos – UAI Risk, software governamental desenvolvido pela CGE-MG.;2025-08-21 00:00:00;2030-08-21 00:00:00;Vigente;https://cge.mg.gov.br/divulgacao-obrigatoria/acordos-e-cooperacoes-tecnicas/category/118-2025?download=1467:termo-de-cooperacao-tecnici12-2025-cge-ifro;
2025;1;1450.01.0210052/2024-48;SECRETARIA DE ESTADO DE JUSTICA E SEGURANÇA PUBLICA;INSTITUTO FEDERAL DE EDCACAO, CIENCIA E TECNOLOGIA DO SUL DE MINAS GERAIS - CAMPUS INCONFIDENTES;O presente Termo de Cooperação Técnica tem por objeto, prover a capacitação e qualificação profissional nas unidades prisionais do Estado de Minas Gerais pelo Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas- Campus Inconfidentes, através de certificação dos cursos ofertados via parcerias de trabalho e ou voluntários, aos Indivíduos Privados de Liberdade que cumprem pena nas Unidades Prisionais subordinadas à Secretaria de Estado de Justiça e Segurança Pública do Estado de Minas Gerais/ SEJUSP, contribuindo para sua formação educacional e profissional, tendo em vista a sua reintegração social.;2025-01-11 00:00:00;2030-01-10 00:00:00;Vigente;https://nuvem.cge.mg.gov.br/index.php/apps/files/files/31925?dir=/FTP_DTA/Acordos%20de%20Coopera%C3%A7%C3%A3o%20T%C3%A9cnica/SEJUSP;
